familyID,system,dataset,replicate,carrierID,futureID,carrierCount,surfaceCount,canonicalSurfaceCount,registeredStateNonrecovery,sharedExactStateExists,fingerprintExactnessExists,registeredExactnessIdentityThresholdNumerator,registeredExactnessIdentityThresholdDenominator,registeredExactnessIdentityThreshold,exactnessMinimizers,sharedPairCountAtFirstExactness,exactnessCompressionMarginNumerator,exactnessCompressionMarginDenominator,exactnessCompressionMargin,familyMaximumSurplusNumerator,familyMaximumSurplusDenominator,familyMaximumSurplus,surplusPeakSurfaces,familyMinimumAmbiguityRatioNumerator,familyMinimumAmbiguityRatioDenominator,familyMinimumAmbiguityRatio
F024:CellTag_LSK_hematopoiesis:CellTag_LSK:parallelArms:IBIP18_arm1Fine:arm1Fine,CellTag_LSK_hematopoiesis,CellTag_LSK,parallelArms,IBIP18_arm1Fine,arm1Fine,1453,5,5,True,False,False,,,undefinedInjective,,,,,undefinedInjective,0,1,0,IBIP18:arm1Fine:P0,1,1,1
F025:CellTag_LSK_hematopoiesis:CellTag_LSK:parallelArms:IBIP18_arm2Fine:arm2Fine,CellTag_LSK_hematopoiesis,CellTag_LSK,parallelArms,IBIP18_arm2Fine,arm2Fine,1453,5,5,True,False,False,,,undefinedInjective,,,,,undefinedInjective,26485183,324268442322,8.16767207143e-05,IBIP18:arm2Fine:P5,784125980,810611163,0.967326895793
F026:CellTag_LSK_hematopoiesis:CellTag_LSK:multimodal:IBIP19_finePooled:finePooled,CellTag_LSK_hematopoiesis,CellTag_LSK,multimodal,IBIP19_finePooled,finePooled,201,15,14,False,False,True,1,1,1,IBIP19:finePooled:JOINT:J5,0,0,1,0,55243,381960300,0.000144630214187,IBIP19:finePooled:RNA:P2,10050,19003,0.5288638636
F027:CellTag_LSK_hematopoiesis:CellTag_LSK:multimodal:IBIP19_sourceGroupedPooled:sourceGroupedPooled,CellTag_LSK_hematopoiesis,CellTag_LSK,multimodal,IBIP19_sourceGroupedPooled,sourceGroupedPooled,201,15,14,False,False,True,1,1,1,IBIP19:sourceGroupedPooled:JOINT:J5,0,0,1,0,3473,15215700,0.000228251082763,IBIP19:sourceGroupedPooled:ATAC:A1,402,757,0.531043593131
F028:CellTag_LSK_hematopoiesis:CellTag_LSK:multimodal:IBIP19_majorityPooled:majorityPooled,CellTag_LSK_hematopoiesis,CellTag_LSK,multimodal,IBIP19_majorityPooled,majorityPooled,201,15,14,False,True,True,10049,10050,0.999900497512,IBIP19:majorityPooled:JOINT:J2,2,1,10050,9.95024875622e-05,233137,250224900,0.000931709833833,IBIP19:majorityPooled:ATAC:A1,0,1,0
F029:CellTag_LSK_hematopoiesis:CellTag_LSK:multimodal:IBIP19_fateBreadth:fateBreadth,CellTag_LSK_hematopoiesis,CellTag_LSK,multimodal,IBIP19_fateBreadth,fateBreadth,201,15,14,False,False,True,1,1,1,IBIP19:fateBreadth:JOINT:J5,0,0,1,0,609041,310685700,0.00196031230275,IBIP19:fateBreadth:ATAC:A1,10050,15457,0.650190852041
F030:CellTag_LSK_hematopoiesis:CellTag_LSK:pairedArms:IBIP19_armInvariant:armInvariantFate,CellTag_LSK_hematopoiesis,CellTag_LSK,pairedArms,IBIP19_armInvariant,armInvariantFate,89,15,14,False,True,True,3913,3916,0.999233912155,IBIP19:armInvariant:ATAC:A2,3,3,3916,0.00076608784474,35495,1668216,0.0212772206956,IBIP19:armInvariant:RNA:P1,0,1,0
F031:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_RNA_3_12_21:fineDay21Fate,CellTag_iEP_reprogramming,CellTag_iEP,r1,r1_RNA_3_12_21,fineDay21Fate,206,30,26,True,False,False,,,undefinedInjective,,,,,undefinedInjective,1901371,203738635,0.009332402762,IBIP20:r1:RNA:5:day12State,18158900,20060271,0.905217083059
F032:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_RNA_3_12_21:sourceGroupedDay21Fate,CellTag_iEP_reprogramming,CellTag_iEP,r1,r1_RNA_3_12_21,sourceGroupedDay21Fate,206,30,26,True,False,False,,,undefinedInjective,,,,,undefinedInjective,653039,43518015,0.0150061761778,IBIP20:r1:RNA:5:day12State,21115,49464,0.42687611192
F033:CellTag_iEP_reprogramming:CellTag_iEP:r1:r1_RNA_3_12_21:majorityDay21Fate,CellTag_iEP_reprogramming,CellTag_iEP,r1,r1_RNA_3_12_21,majorityDay21Fate,206,30,26,True,False,False,,,undefinedInjective,,,,,undefinedInjective,72658,58425205,0.00124360710416,IBIP20:r1:RNA:5:day12State,1131764,1170441,0.966955190394
