replicate,modality,packageDepth,representation,endpoint,cloneCount,partitionSize,singletonFibers,pureFibers,mixedFibers,clonesInMixedFibers,maximumFutureImageCardinality,majorityResidual,discordantClonePairCount,futurePairVisibility,recovers,stateInjective,nontrivialCompression
r2,ATAC,1,orderedHistory,majorityDay21Fate,35,34,33,33,1,2,2,1,1,1,False,False,True
r2,ATAC,1,orderedHistory,fateBreadth,35,34,33,33,1,2,2,1,1,1,False,False,True
r2,MULTI,1,orderedHistory,fineDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,1,orderedHistory,sourceGroupedDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,1,orderedHistory,majorityDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,1,orderedHistory,fateBreadth,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,RNA,2,orderedHistory,fineDay21Fate,159,114,93,93,21,66,5,39,80,62,False,False,True
r2,RNA,2,orderedHistory,sourceGroupedDay21Fate,159,114,93,98,16,56,4,24,60,35,False,False,True
r2,RNA,2,orderedHistory,majorityDay21Fate,159,114,93,98,16,56,3,25,55,22,False,False,True
r2,RNA,2,orderedHistory,fateBreadth,159,114,93,94,20,64,3,28,60,32,False,False,True
r2,ATAC,2,orderedHistory,fineDay21Fate,35,35,35,35,0,0,1,0,0,0,True,True,False
r2,ATAC,2,orderedHistory,sourceGroupedDay21Fate,35,35,35,35,0,0,1,0,0,0,True,True,False
r2,ATAC,2,orderedHistory,majorityDay21Fate,35,35,35,35,0,0,1,0,0,0,True,True,False
r2,ATAC,2,orderedHistory,fateBreadth,35,35,35,35,0,0,1,0,0,0,True,True,False
r2,MULTI,2,orderedHistory,fineDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,2,orderedHistory,sourceGroupedDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,2,orderedHistory,majorityDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,2,orderedHistory,fateBreadth,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,RNA,4,orderedHistory,fineDay21Fate,159,152,146,146,6,13,3,7,8,8,False,False,True
r2,RNA,4,orderedHistory,sourceGroupedDay21Fate,159,152,146,148,4,9,3,5,6,6,False,False,True
r2,RNA,4,orderedHistory,majorityDay21Fate,159,152,146,147,5,11,2,5,6,5,False,False,True
r2,RNA,4,orderedHistory,fateBreadth,159,152,146,147,5,11,2,5,6,5,False,False,True
r2,ATAC,4,orderedHistory,fineDay21Fate,35,35,35,35,0,0,1,0,0,0,True,True,False
r2,ATAC,4,orderedHistory,sourceGroupedDay21Fate,35,35,35,35,0,0,1,0,0,0,True,True,False
r2,ATAC,4,orderedHistory,majorityDay21Fate,35,35,35,35,0,0,1,0,0,0,True,True,False
r2,ATAC,4,orderedHistory,fateBreadth,35,35,35,35,0,0,1,0,0,0,True,True,False
r2,MULTI,4,orderedHistory,fineDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,4,orderedHistory,sourceGroupedDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,4,orderedHistory,majorityDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,4,orderedHistory,fateBreadth,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,RNA,5,orderedHistory,fineDay21Fate,159,159,159,159,0,0,1,0,0,0,True,True,False
r2,RNA,5,orderedHistory,sourceGroupedDay21Fate,159,159,159,159,0,0,1,0,0,0,True,True,False
r2,RNA,5,orderedHistory,majorityDay21Fate,159,159,159,159,0,0,1,0,0,0,True,True,False
r2,RNA,5,orderedHistory,fateBreadth,159,159,159,159,0,0,1,0,0,0,True,True,False
r2,ATAC,5,orderedHistory,fineDay21Fate,35,35,35,35,0,0,1,0,0,0,True,True,False
r2,ATAC,5,orderedHistory,sourceGroupedDay21Fate,35,35,35,35,0,0,1,0,0,0,True,True,False
r2,ATAC,5,orderedHistory,majorityDay21Fate,35,35,35,35,0,0,1,0,0,0,True,True,False
r2,ATAC,5,orderedHistory,fateBreadth,35,35,35,35,0,0,1,0,0,0,True,True,False
r2,MULTI,5,orderedHistory,fineDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,5,orderedHistory,sourceGroupedDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,5,orderedHistory,majorityDay21Fate,24,24,24,24,0,0,1,0,0,0,True,True,False
r2,MULTI,5,orderedHistory,fateBreadth,24,24,24,24,0,0,1,0,0,0,True,True,False
