package,endpoint,cloneCount,partitionSize,singletonFibers,pureFibers,mixedFibers,lineagesInMixedFibers,maximumFateImageCardinality,majorityResidual,discordantPairCount,futureFatePairVisibility,recovers,stateInjective,nontrivialCompression
P2,persistentK7RealizationSet,89,54,40,40,14,49,14,34,142,129,False,False,True
P4,finePooled,201,165,145,145,20,56,11,33,114,80,False,False,True
P4,sourceGroupedPooled,201,165,145,145,20,56,11,33,114,80,False,False,True
P4,majorityPooled,201,165,145,151,14,43,4,20,80,8,False,False,True
P4,fateBreadth,201,165,145,151,14,44,5,25,91,13,False,False,True
P4,arm1Fine,201,165,145,147,18,52,9,29,105,54,False,False,True
P4,arm2Fine,201,165,145,149,16,48,8,28,102,49,False,False,True
P4,armInvariantFine,89,74,66,70,4,15,2,4,11,4,False,False,True
P4,persistentK1Stable,89,74,66,70,4,15,2,4,11,4,False,False,True
P4,persistentK1RealizationSet,89,74,66,70,4,15,2,4,11,4,False,False,True
P4,persistentK2Stable,22,20,19,20,0,0,1,0,0,0,True,False,True
P4,persistentK2RealizationSet,89,74,66,66,8,23,7,13,40,28,False,False,True
P4,persistentK3Stable,19,17,16,16,1,3,2,1,2,1,False,False,True
P4,persistentK3RealizationSet,89,74,66,66,8,23,8,14,42,35,False,False,True
P4,persistentK4Stable,18,16,15,15,1,3,2,1,2,1,False,False,True
P4,persistentK4RealizationSet,89,74,66,66,8,23,8,14,42,35,False,False,True
P4,persistentK5Stable,17,15,14,14,1,3,2,1,2,1,False,False,True
P4,persistentK5RealizationSet,89,74,66,66,8,23,8,14,42,35,False,False,True
P4,persistentK6Stable,16,14,13,13,1,3,2,1,2,1,False,False,True
P4,persistentK6RealizationSet,89,74,66,66,8,23,8,14,42,35,False,False,True
P4,persistentK7Stable,13,12,11,11,1,2,2,1,1,1,False,False,True
P4,persistentK7RealizationSet,89,74,66,66,8,23,9,15,43,43,False,False,True
P5,finePooled,201,184,174,174,10,27,6,15,32,26,False,False,True
P5,sourceGroupedPooled,201,184,174,174,10,27,6,15,32,26,False,False,True
P5,majorityPooled,201,184,174,177,7,21,3,10,24,5,False,False,True
P5,fateBreadth,201,184,174,176,8,23,4,12,27,8,False,False,True
P5,arm1Fine,201,184,174,174,10,27,7,16,33,28,False,False,True
P5,arm2Fine,201,184,174,177,7,21,3,11,24,11,False,False,True
P5,armInvariantFine,89,82,79,81,1,2,2,1,1,1,False,False,True
P5,persistentK1Stable,89,82,79,81,1,2,2,1,1,1,False,False,True
P5,persistentK1RealizationSet,89,82,79,81,1,2,2,1,1,1,False,False,True
P5,persistentK2Stable,22,20,19,20,0,0,1,0,0,0,True,False,True
P5,persistentK2RealizationSet,89,82,79,79,3,10,4,5,14,8,False,False,True
P5,persistentK3Stable,19,17,16,16,1,3,2,1,2,1,False,False,True
P5,persistentK3RealizationSet,89,82,79,79,3,10,5,6,16,12,False,False,True
P5,persistentK4Stable,18,16,15,15,1,3,2,1,2,1,False,False,True
P5,persistentK4RealizationSet,89,82,79,79,3,10,5,6,16,12,False,False,True
P5,persistentK5Stable,17,15,14,14,1,3,2,1,2,1,False,False,True
P5,persistentK5RealizationSet,89,82,79,79,3,10,5,6,16,12,False,False,True
P5,persistentK6Stable,16,14,13,13,1,3,2,1,2,1,False,False,True
P5,persistentK6RealizationSet,89,82,79,79,3,10,5,6,16,12,False,False,True
P5,persistentK7Stable,13,12,11,11,1,2,2,1,1,1,False,False,True
P5,persistentK7RealizationSet,89,82,79,79,3,10,6,7,17,17,False,False,True
