modality,packageDepth,representation,endpoint,sharedStateValueCount,fatePreservingSharedStateValueCount,allSharedStateValuesFatePreserving
ATAC,5,orderedHistory,sourceGroupedDay21Fate,0,0,False
ATAC,5,orderedHistory,majorityDay21Fate,0,0,False
ATAC,5,orderedHistory,fateBreadth,0,0,False
ATAC,5,unorderedHistory,fineDay21Fate,0,0,False
ATAC,5,unorderedHistory,sourceGroupedDay21Fate,0,0,False
ATAC,5,unorderedHistory,majorityDay21Fate,0,0,False
ATAC,5,unorderedHistory,fateBreadth,0,0,False
ATAC,5,reversedHistory,fineDay21Fate,0,0,False
ATAC,5,reversedHistory,sourceGroupedDay21Fate,0,0,False
ATAC,5,reversedHistory,majorityDay21Fate,0,0,False
ATAC,5,reversedHistory,fateBreadth,0,0,False
ATAC,5,transitionSignature,fineDay21Fate,0,0,False
ATAC,5,transitionSignature,sourceGroupedDay21Fate,0,0,False
ATAC,5,transitionSignature,majorityDay21Fate,0,0,False
ATAC,5,transitionSignature,fateBreadth,0,0,False
MULTI,0,snapshotDay3,fineDay21Fate,1,0,False
MULTI,0,snapshotDay3,sourceGroupedDay21Fate,1,0,False
MULTI,0,snapshotDay3,majorityDay21Fate,1,0,False
MULTI,0,snapshotDay3,fateBreadth,1,0,False
MULTI,0,day12State,fineDay21Fate,1,0,False
MULTI,0,day12State,sourceGroupedDay21Fate,1,0,False
MULTI,0,day12State,majorityDay21Fate,1,0,False
MULTI,0,day12State,fateBreadth,1,0,False
MULTI,0,orderedHistory,fineDay21Fate,1,0,False
MULTI,0,orderedHistory,sourceGroupedDay21Fate,1,0,False
MULTI,0,orderedHistory,majorityDay21Fate,1,0,False
MULTI,0,orderedHistory,fateBreadth,1,0,False
MULTI,0,unorderedHistory,fineDay21Fate,1,0,False
MULTI,0,unorderedHistory,sourceGroupedDay21Fate,1,0,False
MULTI,0,unorderedHistory,majorityDay21Fate,1,0,False
MULTI,0,unorderedHistory,fateBreadth,1,0,False
MULTI,0,reversedHistory,fineDay21Fate,1,0,False
MULTI,0,reversedHistory,sourceGroupedDay21Fate,1,0,False
MULTI,0,reversedHistory,majorityDay21Fate,1,0,False
MULTI,0,reversedHistory,fateBreadth,1,0,False
MULTI,0,transitionSignature,fineDay21Fate,1,0,False
MULTI,0,transitionSignature,sourceGroupedDay21Fate,1,0,False
MULTI,0,transitionSignature,majorityDay21Fate,1,0,False
MULTI,0,transitionSignature,fateBreadth,1,0,False
MULTI,1,snapshotDay3,fineDay21Fate,3,0,False
MULTI,1,snapshotDay3,sourceGroupedDay21Fate,3,1,False
MULTI,1,snapshotDay3,majorityDay21Fate,3,0,False
MULTI,1,snapshotDay3,fateBreadth,3,0,False
MULTI,1,day12State,fineDay21Fate,3,0,False
MULTI,1,day12State,sourceGroupedDay21Fate,3,0,False
MULTI,1,day12State,majorityDay21Fate,3,0,False
MULTI,1,day12State,fateBreadth,3,0,False
MULTI,1,orderedHistory,fineDay21Fate,0,0,False
MULTI,1,orderedHistory,sourceGroupedDay21Fate,0,0,False
MULTI,1,orderedHistory,majorityDay21Fate,0,0,False
MULTI,1,orderedHistory,fateBreadth,0,0,False
MULTI,1,unorderedHistory,fineDay21Fate,0,0,False
MULTI,1,unorderedHistory,sourceGroupedDay21Fate,0,0,False
MULTI,1,unorderedHistory,majorityDay21Fate,0,0,False
MULTI,1,unorderedHistory,fateBreadth,0,0,False
MULTI,1,reversedHistory,fineDay21Fate,0,0,False
MULTI,1,reversedHistory,sourceGroupedDay21Fate,0,0,False
MULTI,1,reversedHistory,majorityDay21Fate,0,0,False
MULTI,1,reversedHistory,fateBreadth,0,0,False
MULTI,1,transitionSignature,fineDay21Fate,0,0,False
MULTI,1,transitionSignature,sourceGroupedDay21Fate,0,0,False
MULTI,1,transitionSignature,majorityDay21Fate,0,0,False
MULTI,1,transitionSignature,fateBreadth,0,0,False
MULTI,2,snapshotDay3,fineDay21Fate,0,0,False
MULTI,2,snapshotDay3,sourceGroupedDay21Fate,0,0,False
MULTI,2,snapshotDay3,majorityDay21Fate,0,0,False
MULTI,2,snapshotDay3,fateBreadth,0,0,False
MULTI,2,day12State,fineDay21Fate,1,0,False
MULTI,2,day12State,sourceGroupedDay21Fate,1,0,False
MULTI,2,day12State,majorityDay21Fate,1,0,False
MULTI,2,day12State,fateBreadth,1,0,False
MULTI,2,orderedHistory,fineDay21Fate,0,0,False
MULTI,2,orderedHistory,sourceGroupedDay21Fate,0,0,False
MULTI,2,orderedHistory,majorityDay21Fate,0,0,False
MULTI,2,orderedHistory,fateBreadth,0,0,False
MULTI,2,unorderedHistory,fineDay21Fate,0,0,False
MULTI,2,unorderedHistory,sourceGroupedDay21Fate,0,0,False
MULTI,2,unorderedHistory,majorityDay21Fate,0,0,False
MULTI,2,unorderedHistory,fateBreadth,0,0,False
