replicate,modality,packageDepth,representation,endpoint,cloneCount,partitionSize,singletonFibers,pureFibers,mixedFibers,clonesInMixedFibers,maximumFutureImageCardinality,majorityResidual,discordantClonePairCount,futurePairVisibility,recovers,stateInjective,nontrivialCompression
r1,ATAC,2,snapshotDay3,fineDay21Fate,27,24,22,22,2,5,3,3,4,4,False,False,True
r1,ATAC,2,snapshotDay3,sourceGroupedDay21Fate,27,24,22,22,2,5,3,3,4,4,False,False,True
r1,ATAC,2,snapshotDay3,majorityDay21Fate,27,24,22,23,1,2,2,1,1,1,False,False,True
r1,ATAC,2,snapshotDay3,fateBreadth,27,24,22,22,2,5,2,2,3,2,False,False,True
r1,MULTI,2,snapshotDay3,fineDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,2,snapshotDay3,sourceGroupedDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,2,snapshotDay3,majorityDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,2,snapshotDay3,fateBreadth,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,RNA,4,snapshotDay3,fineDay21Fate,206,149,128,129,20,76,17,47,385,175,False,False,True
r1,RNA,4,snapshotDay3,sourceGroupedDay21Fate,206,149,128,132,17,69,12,37,338,94,False,False,True
r1,RNA,4,snapshotDay3,majorityDay21Fate,206,149,128,135,14,63,3,33,268,22,False,False,True
r1,RNA,4,snapshotDay3,fateBreadth,206,149,128,131,18,72,3,36,282,28,False,False,True
r1,ATAC,4,snapshotDay3,fineDay21Fate,27,25,23,23,2,4,2,2,2,2,False,False,True
r1,ATAC,4,snapshotDay3,sourceGroupedDay21Fate,27,25,23,23,2,4,2,2,2,2,False,False,True
r1,ATAC,4,snapshotDay3,majorityDay21Fate,27,25,23,24,1,2,2,1,1,1,False,False,True
r1,ATAC,4,snapshotDay3,fateBreadth,27,25,23,23,2,4,2,2,2,2,False,False,True
r1,MULTI,4,snapshotDay3,fineDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,4,snapshotDay3,sourceGroupedDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,4,snapshotDay3,majorityDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,4,snapshotDay3,fateBreadth,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,RNA,5,snapshotDay3,fineDay21Fate,206,186,177,177,9,29,6,18,44,34,False,False,True
r1,RNA,5,snapshotDay3,sourceGroupedDay21Fate,206,186,177,179,7,25,4,12,33,19,False,False,True
r1,RNA,5,snapshotDay3,majorityDay21Fate,206,186,177,179,7,25,3,11,30,11,False,False,True
r1,RNA,5,snapshotDay3,fateBreadth,206,186,177,178,8,27,3,13,33,16,False,False,True
r1,ATAC,5,snapshotDay3,fineDay21Fate,27,26,25,25,1,2,2,1,1,1,False,False,True
r1,ATAC,5,snapshotDay3,sourceGroupedDay21Fate,27,26,25,25,1,2,2,1,1,1,False,False,True
r1,ATAC,5,snapshotDay3,majorityDay21Fate,27,26,25,26,0,0,1,0,0,0,True,False,True
r1,ATAC,5,snapshotDay3,fateBreadth,27,26,25,25,1,2,2,1,1,1,False,False,True
r1,MULTI,5,snapshotDay3,fineDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,5,snapshotDay3,sourceGroupedDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,5,snapshotDay3,majorityDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,5,snapshotDay3,fateBreadth,17,17,17,17,0,0,1,0,0,0,True,True,False
r2,RNA,0,snapshotDay3,fineDay21Fate,159,1,0,0,1,159,49,106,10602,1176,False,False,True
r2,RNA,0,snapshotDay3,sourceGroupedDay21Fate,159,1,0,0,1,159,27,61,7487,351,False,False,True
r2,RNA,0,snapshotDay3,majorityDay21Fate,159,1,0,0,1,159,3,78,7803,3,False,False,True
r2,RNA,0,snapshotDay3,fateBreadth,159,1,0,0,1,159,3,58,6650,3,False,False,True
r2,ATAC,0,snapshotDay3,fineDay21Fate,35,1,0,0,1,35,12,19,463,66,False,False,True
r2,ATAC,0,snapshotDay3,sourceGroupedDay21Fate,35,1,0,0,1,35,7,13,352,21,False,False,True
r2,ATAC,0,snapshotDay3,majorityDay21Fate,35,1,0,0,1,35,3,17,372,3,False,False,True
r2,ATAC,0,snapshotDay3,fateBreadth,35,1,0,0,1,35,3,13,308,3,False,False,True
r2,MULTI,0,snapshotDay3,fineDay21Fate,24,1,0,0,1,24,11,16,241,55,False,False,True
r2,MULTI,0,snapshotDay3,sourceGroupedDay21Fate,24,1,0,0,1,24,7,10,180,21,False,False,True
r2,MULTI,0,snapshotDay3,majorityDay21Fate,24,1,0,0,1,24,3,15,189,3,False,False,True
r2,MULTI,0,snapshotDay3,fateBreadth,24,1,0,0,1,24,3,11,161,3,False,False,True
r2,RNA,1,snapshotDay3,fineDay21Fate,159,15,2,2,13,157,13,99,1147,298,False,False,True
r2,RNA,1,snapshotDay3,sourceGroupedDay21Fate,159,15,2,3,12,154,8,57,799,121,False,False,True
r2,RNA,1,snapshotDay3,majorityDay21Fate,159,15,2,4,11,153,3,72,841,25,False,False,True
r2,RNA,1,snapshotDay3,fateBreadth,159,15,2,3,12,155,3,55,714,28,False,False,True
r2,ATAC,1,snapshotDay3,fineDay21Fate,35,19,11,11,8,24,4,13,29,20,False,False,True
r2,ATAC,1,snapshotDay3,sourceGroupedDay21Fate,35,19,11,13,6,20,3,9,22,12,False,False,True
r2,ATAC,1,snapshotDay3,majorityDay21Fate,35,19,11,11,8,24,3,11,25,10,False,False,True
r2,ATAC,1,snapshotDay3,fateBreadth,35,19,11,13,6,20,3,9,21,10,False,False,True
r2,MULTI,1,snapshotDay3,fineDay21Fate,24,21,18,18,3,6,2,3,3,3,False,False,True
