carrier,candidate,family,package,description,decisionEligible,retrospectiveOutcomeOptimized,terminalLeakage,lineageIdentityLeakage,immediateCoarsening,carrierCount,quotientCardinality,compressionRatio,normalizedCompression,singletonFiberCount,nonSingletonFiberCount,lineagesInSingletonFibers,lineagesInNonSingletonFibers,sharedCompressionCoverage,maximumFiberSize,meanNonSingletonFiberSize,medianNonSingletonFiberSize,fateObjectsRepresentedByMultipleLineages,mixedFiberCount,lineagesInMixedFibers,maximumFateImageCardinality,majorityResidual,discordantPairCount,exactRecovery,nontrivialCompression,sharedCompression,fiberSpectrum
H03,P5_twelveProjectionDistribution.prefix.reverse.4,coordinate_deletion,P5_twelveProjectionDistribution,"retain (11, 10, 9, 8)",True,False,False,False,P5_twelveProjectionDistribution.prefix.reverse.3,1183,1170,1.011111111111111,0.01098901098901095,1157,13,1157,26,0.02197802197802198,2,2,2,1,9,18,2,9,9,False,True,True,1:1157;2:13
H03,P4_twelveProjectionState.prefix.evenThenOdd.6,coordinate_deletion,P4_twelveProjectionState,"retain (0, 2, 4, 6, 8, 10)",True,False,False,False,P4_twelveProjectionState.prefix.evenThenOdd.5,1183,1172,1.0093856655290103,0.009298393913778513,1162,10,1162,21,0.01775147928994083,3,2.1,2.0,1,7,15,3,8,9,False,True,True,1:1162;2:9;3:1
H03,P2_eightProjectionState.delete.3,coordinate_deletion,P2_eightProjectionState,delete projection 3,True,False,False,False,,1183,1175,1.0068085106382978,0.006762468300929858,1168,7,1168,15,0.01267962806424345,3,2.142857142857143,2,1,6,13,3,7,8,False,True,True,1:1168;2:6;3:1
H03,P2_eightProjectionState.delete.8,coordinate_deletion,P2_eightProjectionState,delete projection 8,True,False,False,False,,1183,1176,1.005952380952381,0.00591715976331364,1170,6,1170,13,0.01098901098901099,3,2.1666666666666665,2.0,1,5,11,3,6,7,False,True,True,1:1170;2:5;3:1
H03,P5_twelveProjectionDistribution.prefix.oddThenEven.5,coordinate_deletion,P5_twelveProjectionDistribution,"retain (1, 3, 5, 7, 9)",True,False,False,False,P5_twelveProjectionDistribution.prefix.oddThenEven.4,1183,1177,1.0050977060322854,0.005071851225697421,1172,5,1172,11,0.009298393913778529,3,2.2,2,1,4,9,3,5,6,False,True,True,1:1172;2:4;3:1
H03,P4_twelveProjectionState.route.coordinateMotifs,route_motif,P4_twelveProjectionState,ordered coordinate motif tuple,True,False,False,False,,1183,1178,1.0042444821731749,0.004226542688081203,1173,5,1173,10,0.0084530853761623,2,2,2,1,2,4,2,2,2,False,True,True,1:1173;2:5
H03,P5_twelveProjectionDistribution.prefix.evenThenOdd.5,coordinate_deletion,P5_twelveProjectionDistribution,"retain (0, 2, 4, 6, 8)",True,False,False,False,P5_twelveProjectionDistribution.prefix.evenThenOdd.4,1183,1181,1.0016934801016089,0.0016906170752324368,1179,2,1179,4,0.0033812341504649195,2,2,2.0,1,1,2,2,1,1,False,True,True,1:1179;2:2
H03,P2_eightProjectionState.prefix.evenThenOdd.8,coordinate_deletion,P2_eightProjectionState,"retain (0, 2, 4, 6, 1, 3, 5, 7)",True,False,False,False,P2_eightProjectionState.prefix.evenThenOdd.7,1183,1183,1.0,0.0,1183,0,1183,0,0.0,1,0.0,0.0,0,0,0,1,0,0,True,False,False,1:1183
H037,constant,coarse_temporal_algebra,P2_eightProjectionState,constant quotient,True,False,False,False,,748,1,748.0,0.9986631016042781,0,1,0,748,1.0,748,748,748,0,1,748,163,455,231975,False,True,True,748:1
H037,P2_eightProjectionState.transition.switchCount,transition_signature,P2_eightProjectionState,total coordinate switch count,True,False,False,False,,748,12,62.333333333333336,0.983957219251337,0,12,0,748,1.0,145,62.333333333333336,54.5,0,12,748,52,453,31115,False,True,True,3:1;6:1;7:1;15:1;37:1;47:1;62:1;69:1;110:1;118:1;129:1;145:1
H037,P5_twelveProjectionDistribution.retain.7,coordinate_deletion,P5_twelveProjectionDistribution,retain projection 7,True,False,False,False,,748,43,17.3953488372093,0.9425133689839572,4,39,4,744,0.9946524064171123,110,19.076923076923077,10,1,38,742,38,433,13198,False,True,True,1:4;2:8;3:2;4:2;5:3;6:1;7:1;8:1;9:1;10:1;11:2;14:1;15:1;16:1;17:1;19:1;24:2;29:1;31:1;33:1;37:1;44:1;48:1;54:1;58:1;64:1;110:1
H037,P2_eightProjectionState.prefix.oddThenEven.2,coordinate_deletion,P2_eightProjectionState,"retain (1, 3)",True,False,False,False,P2_eightProjectionState.prefix.oddThenEven.1,748,176,4.25,0.7647058823529411,47,129,47,701,0.9371657754010695,25,5.434108527131783,4,2,121,680,17,412,2350,False,True,True,1:47;2:25;3:27;4:17;5:17;6:13;7:7;8:3;9:7;10:1;11:2;12:2;13:2;15:1;16:1;21:1;22:2;25:1
H037,P2_eightProjectionState.prefix.reverse.2,coordinate_deletion,P2_eightProjectionState,"retain (7, 6)",True,False,False,False,P2_eightProjectionState.prefix.reverse.1,748,186,4.021505376344086,0.7513368983957219,41,145,41,707,0.9451871657754011,21,4.875862068965517,3,1,135,682,15,397,1936,False,True,True,1:41;2:44;3:29;4:14;5:11;6:14;7:10;8:4;9:4;10:4;11:3;13:2;14:1;15:1;16:2;18:1;21:1
H037,P5_twelveProjectionDistribution.prefix.reverse.1,coordinate_deletion,P5_twelveProjectionDistribution,"retain (11,)",True,False,False,False,constant,748,229,3.2663755458515285,0.6938502673796791,86,143,86,662,0.8850267379679144,18,4.629370629370629,3,3,129,631,14,362,1585,False,True,True,1:86;2:50;3:24;4:17;5:11;6:12;7:5;8:5;9:6;10:1;11:5;12:1;13:2;14:1;15:1;16:1;18:1
H037,P5_twelveProjectionDistribution.retain.8,coordinate_deletion,P5_twelveProjectionDistribution,retain projection 8,True,False,False,False,,748,249,3.004016064257028,0.6671122994652406,105,144,105,643,0.8596256684491979,18,4.465277777777778,3.0,1,133,612,15,357,1516,False,True,True,1:105;2:40;3:39;4:17;5:10;6:11;7:9;8:5;9:3;10:1;11:2;12:2;13:2;15:1;17:1;18:1
H037,P5_twelveProjectionDistribution.heterogeneity.multiCount,heterogeneity_summary,P5_twelveProjectionDistribution,multi-occupied coordinate count per time,True,False,False,False,,748,259,2.888030888030888,0.6537433155080214,128,131,128,620,0.8288770053475936,57,4.732824427480916,3,2,120,596,22,336,2729,False,True,True,1:128;2:54;3:31;4:15;5:5;6:4;7:3;8:2;9:3;10:4;12:2;13:2;15:1;19:2;21:1;25:1;57:1
H037,P5_twelveProjectionDistribution.retain.11,coordinate_deletion,P5_twelveProjectionDistribution,retain projection 11,True,False,False,False,,748,290,2.579310344827586,0.6122994652406417,147,143,147,601,0.803475935828877,26,4.2027972027972025,3,1,128,561,18,311,1374,False,True,True,1:147;2:48;3:33;4:18;5:14;6:9;7:5;8:6;9:5;12:2;14:1;18:1;26:1
H037,P5_twelveProjectionDistribution.prefix.oddThenEven.1,coordinate_deletion,P5_twelveProjectionDistribution,"retain (1,)",True,False,False,False,constant,748,315,2.3746031746031746,0.5788770053475936,143,172,143,605,0.8088235294117647,12,3.5174418604651163,3.0,2,149,548,9,310,888,False,True,True,1:143;2:69;3:48;4:14;5:12;6:15;7:7;8:2;9:1;10:2;11:1;12:1
H037,P5_twelveProjectionDistribution.retain.6,coordinate_deletion,P5_twelveProjectionDistribution,retain projection 6,True,False,False,False,,748,332,2.253012048192771,0.5561497326203209,157,175,157,591,0.7901069518716578,15,3.3771428571428572,3,1,157,550,12,301,877,False,True,True,1:157;2:75;3:44;4:29;5:9;6:6;7:2;8:2;9:5;11:2;15:1
H037,P5_twelveProjectionDistribution.retain.5,coordinate_deletion,P5_twelveProjectionDistribution,retain projection 5,True,False,False,False,,748,335,2.2328358208955223,0.5521390374331551,169,166,169,579,0.7740641711229946,13,3.4879518072289155,2.0,2,146,531,10,292,938,False,True,True,1:169;2:85;3:25;4:20;5:13;6:9;7:2;8:3;9:3;10:2;12:2;13:2
H037,P2_eightProjectionState.prefix.source.2,coordinate_deletion,P2_eightProjectionState,"retain (0, 1)",True,False,False,False,P2_eightProjectionState.prefix.source.1,748,398,1.879396984924623,0.4679144385026738,208,190,208,540,0.7219251336898396,9,2.8421052631578947,2.0,2,162,479,7,276,554,False,True,True,1:208;2:100;3:51;4:24;5:7;6:4;7:1;8:2;9:1
H037,P2_eightProjectionState.transition.histogram,transition_signature,P2_eightProjectionState,signed transition histograms,True,False,False,False,,748,410,1.824390243902439,0.4518716577540107,235,175,235,513,0.6858288770053476,11,2.9314285714285715,2,1,156,473,7,265,574,False,True,True,1:235;2:96;3:38;4:19;5:11;6:7;7:2;9:1;11:1
