lineage_id,replicate1_counts,replicate2_counts,replicate1_fate,replicate2_fate,pooled_counts,pooled_fate,replicate1_total,replicate2_total,concordant,discordant,replicate1_support,replicate2_support
3d3c6d89d4e5fef0137c,0:0:2,0:0:2,0:0:1,0:0:1,0:0:4,0:0:1,2,2,True,False,001,001
3d42357e289242e6a54e,1:0:0,0:0:3,1:0:0,0:0:1,1:0:3,1:0:3,1,3,False,True,100,001
3d5419f7ad8483d10145,0:0:2,0:0:5,0:0:1,0:0:1,0:0:7,0:0:1,2,5,True,False,001,001
3d82a9dfea07f6481216,0:0:1,5:6:0,0:0:1,5:6:0,5:6:1,5:6:1,1,11,False,True,001,110
3dad5cd11df1133ed2c2,1:1:0,0:0:2,1:1:0,0:0:1,1:1:2,1:1:2,2,2,False,True,110,001
3de8906d1e4e9318eb19,0:1:0,0:1:0,0:1:0,0:1:0,0:2:0,0:1:0,1,1,True,False,010,010
3dea38a6968104a46318,0:1:1,1:2:3,0:1:1,1:2:3,1:3:4,1:3:4,2,6,False,True,011,111
3e303a6a7ad1cfca88f9,0:0:1,0:3:0,0:0:1,0:1:0,0:3:1,0:3:1,1,3,False,True,001,010
3e8285c4f9d4bd28ac81,0:0:1,0:0:2,0:0:1,0:0:1,0:0:3,0:0:1,1,2,True,False,001,001
3eb62746b6dc3922921d,0:0:18,1:0:15,0:0:1,1:0:15,1:0:33,1:0:33,18,16,False,True,001,101
3f090c23f92c5191b4d7,0:0:3,0:0:2,0:0:1,0:0:1,0:0:5,0:0:1,3,2,True,False,001,001
3f0941e1eab41af35291,0:1:0,0:0:2,0:1:0,0:0:1,0:1:2,0:1:2,1,2,False,True,010,001
3f1e85fe14835f893b46,0:0:1,0:1:0,0:0:1,0:1:0,0:1:1,0:1:1,1,1,False,True,001,010
3f37c4aa9fb88cfb2e36,0:0:1,1:0:0,0:0:1,1:0:0,1:0:1,1:0:1,1,1,False,True,001,100
3f7612a752aff61fa620,0:0:2,0:0:1,0:0:1,0:0:1,0:0:3,0:0:1,2,1,True,False,001,001
40147506db66bab27a18,0:1:2,0:0:2,0:1:2,0:0:1,0:1:4,0:1:4,3,2,False,True,011,001
403efa18f5141b55453f,0:1:0,0:0:1,0:1:0,0:0:1,0:1:1,0:1:1,1,1,False,True,010,001
403fb974edc024cdc6cd,3:0:0,0:1:1,1:0:0,0:1:1,3:1:1,3:1:1,3,2,False,True,100,011
4069e3a81166e0199fb5,0:1:2,0:0:1,0:1:2,0:0:1,0:1:3,0:1:3,3,1,False,True,011,001
408496fef481ca0f5a8c,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
408fcabeaafa3f640529,0:0:3,0:1:2,0:0:1,0:1:2,0:1:5,0:1:5,3,3,False,True,001,011
409a920223fb77ca7ae3,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
40c38e5ee68db09a1bbd,0:0:1,0:0:5,0:0:1,0:0:1,0:0:6,0:0:1,1,5,True,False,001,001
40ecb6a31bb9483b2b93,0:0:3,0:0:2,0:0:1,0:0:1,0:0:5,0:0:1,3,2,True,False,001,001
4196aee9f4c655160083,1:0:0,1:0:0,1:0:0,1:0:0,2:0:0,1:0:0,1,1,True,False,100,100
41cecdc55b876e8bb2b4,0:0:7,0:0:5,0:0:1,0:0:1,0:0:12,0:0:1,7,5,True,False,001,001
42291751ada2cf59665d,0:1:0,0:2:1,0:1:0,0:2:1,0:3:1,0:3:1,1,3,False,True,010,011
422e8112c1a4652c8965,0:0:1,0:0:2,0:0:1,0:0:1,0:0:3,0:0:1,1,2,True,False,001,001
42303e2fade54ca72981,0:0:2,0:0:1,0:0:1,0:0:1,0:0:3,0:0:1,2,1,True,False,001,001
42539a3e54c6ce05d2b3,0:8:0,0:14:0,0:1:0,0:1:0,0:22:0,0:1:0,8,14,True,False,010,010
42724c71fd0b75bfa338,2:0:0,2:2:0,1:0:0,1:1:0,4:2:0,2:1:0,2,4,False,True,100,110
429780722b41db2484de,0:7:1,0:6:1,0:7:1,0:6:1,0:13:2,0:13:2,8,7,False,True,011,011
42cd93f9141fba3f6d9c,0:2:0,0:3:0,0:1:0,0:1:0,0:5:0,0:1:0,2,3,True,False,010,010
431846026639dca1f43a,0:0:2,0:0:1,0:0:1,0:0:1,0:0:3,0:0:1,2,1,True,False,001,001
4334ce0fb3422d9d8f0d,0:0:2,0:2:0,0:0:1,0:1:0,0:2:2,0:1:1,2,2,False,True,001,010
438ebf753be0110a71d2,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
43c297d410976c45d9ad,0:1:0,0:0:1,0:1:0,0:0:1,0:1:1,0:1:1,1,1,False,True,010,001
43d80167e181c1836346,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
43d90390a6572b9d7fe7,0:0:2,0:0:1,0:0:1,0:0:1,0:0:3,0:0:1,2,1,True,False,001,001
43e36b36c39142c5755c,1:0:0,0:0:1,1:0:0,0:0:1,1:0:1,1:0:1,1,1,False,True,100,001
43ecffdad9ae990e3c43,0:4:0,0:2:0,0:1:0,0:1:0,0:6:0,0:1:0,4,2,True,False,010,010
43f7556d47fd47209dc5,0:0:4,0:1:4,0:0:1,0:1:4,0:1:8,0:1:8,4,5,False,True,001,011
4407f949b5fa13142641,0:0:6,0:1:2,0:0:1,0:1:2,0:1:8,0:1:8,6,3,False,True,001,011
44113fcff2513833a31c,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
449a385fcb2de824291d,0:0:3,0:0:1,0:0:1,0:0:1,0:0:4,0:0:1,3,1,True,False,001,001
449dd4347fe2d092f98f,0:1:0,0:1:1,0:1:0,0:1:1,0:2:1,0:2:1,1,2,False,True,010,011
44a123116fa4b810848d,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
44a2365be62dafa23bae,0:1:0,0:0:1,0:1:0,0:0:1,0:1:1,0:1:1,1,1,False,True,010,001
44bc92905ff3651ce6b6,0:0:1,0:0:3,0:0:1,0:0:1,0:0:4,0:0:1,1,3,True,False,001,001
