lane,supportLevel,componentCount,nonSingletonComponentCount,pairWeightedWithin,pairWeightedBetween,pairWeightedDelta,componentWeightedWithin,componentWeightedBetween,componentWeightedWithinMinusBetween,fateWeightedWithin,fateWeightedBetween,commonInhabitantNonSingletonComponentCount,commonInhabitantLineageCoverage,commonInhabitantCellCoverage,molecularDispersion
cycleReducedTerminalMolecular,8,177,1,0.004464870157168856,0.000746601509165878,0.003718268648002978,0.004464870157168856,0.0006854502789940685,0.0037794198781747877,0.004464870157168858,0.0007487114054115729,0,0.0,0.0,0.9955351298428311
cycleReducedTerminalMolecular,9,180,1,0.004876794943052984,0.0007528139006800949,0.004123981042372889,0.004876794943052984,0.0006955307309173781,0.004181264212135606,0.004876794943052983,0.000754393135936712,0,0.0,0.0,0.9951232050569471
cycleReducedTerminalMolecular,12,181,1,0.0056022013713981226,0.0007532938851104802,0.0048489074862876425,0.0056022013713981226,0.000700116675515643,0.004902084695882479,0.005602201371398123,0.000754634051489855,0,0.0,0.0,0.9943977986286019
cycleReducedTerminalMolecular,13,182,1,0.006276285543659122,0.0007543750356866952,0.005521910507972428,0.006276285543659122,0.0007158337492972305,0.0055604517943618915,0.0062762855436591216,0.0007552540474815429,0,0.0,0.0,0.9937237144563409
cycleReducedTerminalMolecular,14,183,1,0.006915960903373072,0.0007558401092624072,0.006160120794110665,0.006915960903373072,0.0007207223004675017,0.006195238602905571,0.006915960903373074,0.0007565559610039243,0,0.0,0.0,0.9930840390966269
cycleReducedTerminalMolecular,15,185,1,0.01075633533198602,0.0007570929495017741,0.009999242382484248,0.01075633533198602,0.0007280030686747494,0.010028332263311271,0.010756335331986019,0.000757542542480304,0,0.0,0.0,0.9892436646680139
cycleReducedTerminalMolecular,17,186,1,0.011225743382361986,0.0007596174483264419,0.010466125934035543,0.011225743382361986,0.0007373037172507685,0.010488439665111217,0.011225743382361984,0.0007599063897062859,0,0.0,0.0,0.9887742566176381
cycleReducedTerminalMolecular,36,187,1,0.015390788397352051,0.0007605575694276843,0.014630230827924367,0.015390788397352051,0.0007454045948563161,0.014645383802495734,0.01539078839735205,0.0007607153865396226,0,0.0,0.0,0.9846092116026479
cycleReducedTerminalMolecular,38,188,1,0.019765249921476775,0.0007622714346188274,0.019002978486857947,0.019765249921476775,0.0007510119384282851,0.01901423798304849,0.019765249921476775,0.0007623598550567484,1,0.001279863481228669,0.0005799342741156003,0.9802347500785232
cycleReducedTerminalMolecular,62,189,1,0.04056476677369055,0.0007632297971074931,0.039801536976583056,0.04056476677369055,0.0007567210165672611,0.03980804575712329,0.04056476677369055,0.0007632640538471787,1,0.1396598030438675,0.07269395235186317,0.9594352332263094
cycleReducedTerminalMolecular,111,190,0,0.0,0.0007654465354520535,-0.0007654465354520535,0.0,0.0007654465354520535,-0.0007654465354520535,0.0,0.0007654465354520538,0,0.0,0.0,1.0
